number;sum;max;percent
1;2;11;0.18
2;11;11;1.00
3;8;11;0.73
4;17;22;0.78
5;8;11;0.73
6;9;11;0.82
7;8;11;0.73
8;4;11;0.36
9;12;22;0.55
10;9;22;0.41
11;5;11;0.46
12;12;22;0.55
13;6;11;0.55
14;7;11;0.64
15;8;11;0.73
16;1;11;0.09
17;9;22;0.41
18;6;11;0.55
19;4;11;0.36
20;31;33;0.94
21;25;44;0.57
22;15;33;0.45
23;16;44;0.36
